income,age,sex,employment,education
62000,50,Male,Self employed not incorporated,no high school diploma
27100,34,Female,Employee of a private for profit,no high school diploma
4000,26,Female,Self employed incorporated,Bachelor's degree
133000,26,Male,Employee of a private for profit,Professional degree
30000,45,Male,Employee of a private for profit,"some college credit, no degree"
51000,34,Female,State government employee,"some college credit, no degree"
8900,47,Female,Employee of a private for profit,"some college credit, no degree"
30000,37,Female,Self employed not incorporated,Bachelor's degree
35000,26,Male,Employee of a private for profit,Regular high school diploma
12600,23,Male,Employee of a private for profit,Regular high school diploma
46100,38,Male,Employee of a private for profit,Regular high school diploma
38000,41,Male,Employee of a private for profit,no high school diploma
23000,35,Female,Employee of a private for profit,"some college credit, no degree"
40000,45,Male,Employee of a private for profit,Regular high school diploma
85000,27,Male,Local government employee,Associate's degree
30000,50,Male,Employee of a private for profit,Regular high school diploma
20000,42,Female,Employee of a private for profit,no high school diploma
30000,40,Male,Private not-for-profit employee,Regular high school diploma
45000,33,Male,Self employed incorporated,Master's degree
40000,26,Male,Employee of a private for profit,Bachelor's degree
40000,41,Male,Employee of a private for profit,"some college credit, no degree"
5000,20,Male,Employee of a private for profit,no high school diploma
72000,38,Male,Local government employee,Bachelor's degree
40000,33,Male,Employee of a private for profit,Associate's degree
33300,27,Female,Self employed incorporated,Associate's degree
30000,26,Female,Employee of a private for profit,"some college credit, no degree"
77000,29,Male,Employee of a private for profit,Doctorate degree
212000,46,Male,Employee of a private for profit,"some college credit, no degree"
57000,34,Female,Employee of a private for profit,Bachelor's degree
102200,34,Male,State government employee,Doctorate degree
10000,25,Male,Private not-for-profit employee,Bachelor's degree
29500,36,Female,Employee of a private for profit,"some college credit, no degree"
23000,36,Male,Private not-for-profit employee,"some college credit, no degree"
76000,49,Male,Self employed not incorporated,Regular high school diploma
27900,39,Male,Employee of a private for profit,Regular high school diploma
48000,44,Female,Self employed incorporated,Bachelor's degree
22000,21,Female,Local government employee,"some college credit, no degree"
48000,46,Male,Employee of a private for profit,Regular high school diploma
75000,38,Female,Employee of a private for profit,Master's degree
46000,36,Female,Employee of a private for profit,"some college credit, no degree"
38000,26,Female,Local government employee,Regular high school diploma
70000,29,Male,Employee of a private for profit,Regular high school diploma
30000,23,Male,Employee of a private for profit,Regular high school diploma
90000,38,Male,Employee of a private for profit,Master's degree
70000,40,Male,Employee of a private for profit,"some college credit, no degree"
30000,36,Male,Private not-for-profit employee,Regular high school diploma
75000,35,Male,Employee of a private for profit,Bachelor's degree
15000,35,Female,Employee of a private for profit,Regular high school diploma
23000,40,Male,Employee of a private for profit,"some college credit, no degree"
30000,36,Female,Employee of a private for profit,"some college credit, no degree"
75500,44,Female,Self employed incorporated,Master's degree
24000,36,Male,Employee of a private for profit,no high school diploma
15000,38,Female,Employee of a private for profit,Regular high school diploma
23000,35,Male,Employee of a private for profit,GED or alternative credential
30000,25,Male,Employee of a private for profit,Regular high school diploma
34000,32,Male,Employee of a private for profit,"some college credit, no degree"
36000,26,Female,Employee of a private for profit,"some college credit, no degree"
16000,42,Female,State government employee,"some college credit, no degree"
50000,31,Male,Employee of a private for profit,Bachelor's degree
60000,27,Female,Employee of a private for profit,Bachelor's degree
43000,28,Male,Employee of a private for profit,"some college credit, no degree"
39400,39,Male,Employee of a private for profit,Associate's degree
10400,28,Female,Employee of a private for profit,"some college credit, no degree"
35000,44,Male,Local government employee,Regular high school diploma
44700,46,Male,Employee of a private for profit,no high school diploma
126000,39,Male,Employee of a private for profit,Bachelor's degree
49000,34,Male,Employee of a private for profit,Bachelor's degree
20000,24,Female,Employee of a private for profit,Bachelor's degree
42000,45,Female,Employee of a private for profit,Associate's degree
60000,32,Female,Employee of a private for profit,Bachelor's degree
24000,48,Male,Employee of a private for profit,Regular high school diploma
28000,28,Male,Employee of a private for profit,Regular high school diploma
36000,43,Female,Employee of a private for profit,Regular high school diploma
41200,44,Male,Employee of a private for profit,Associate's degree
30000,34,Male,Employee of a private for profit,"some college credit, no degree"
65000,34,Female,Employee of a private for profit,"some college credit, no degree"
18000,24,Male,Employee of a private for profit,"some college credit, no degree"
72000,41,Male,Employee of a private for profit,Regular high school diploma
50000,36,Male,Federal government employee,Bachelor's degree
72600,45,Male,Employee of a private for profit,"some college credit, no degree"
110000,45,Male,Employee of a private for profit,Bachelor's degree
110000,49,Female,Federal government employee,Bachelor's degree
16900,22,Male,Employee of a private for profit,"some college credit, no degree"
8000,37,Male,Employee of a private for profit,Regular high school diploma
88000,34,Male,Employee of a private for profit,Associate's degree
97000,45,Male,Employee of a private for profit,Bachelor's degree
6000,28,Male,Employee of a private for profit,"some college credit, no degree"
